[Info  - 12:06:50] Angular language server process ID: 1300
[Info  - 12:06:50] Using typescript/lib/tsserverlibrary v4.0.2 from /home/hadad/.vscode-oss/extensions/angular.ng-template-0.1001.0/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 12:06:50] Using @angular/language-service v10.1.1 from /home/hadad/.vscode-oss/extensions/angular.ng-template-0.1001.0/server/node_modules/@angular/language-service/bundles/language-service.js
[Info  - 12:06:50] Log file: /home/hadad/.config/Code - OSS/logs/20201025T120630/exthost1/Angular.ng-template/nglangsvc.log
[Info  - 12:08:58] Disabling language service for /home/hadad/paginas/angular-tour-of-heroes/tsconfig.json because it is not an Angular project ('@angular/core/core.d.ts' could not be found). If you believe you are seeing this message in error, please reinstall the packages in your package.json.
[Info  - 12:08:58] Enabling language service for /home/hadad/paginas/angular-tour-of-heroes/tsconfig.app.json.
[Info  - 12:12:01] Enabling language service for /home/hadad/paginas/angular-tour-of-heroes/tsconfig.spec.json.
[Error - 12:12:01] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/app.component.html
[Error - 12:44:32] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/messages/messages.component.html
[Error - 12:45:50] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/dashboard/dashboard.component.html
[Error - 12:48:30] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/hero-detail/hero-detail.component.html
[Error - 12:50:22] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/hero-detail/hero-detail.component.html
[Error - 12:50:27] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/hero-detail/hero-detail.component.html
[Error - 12:50:30] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/hero-detail/hero-detail.component.html
[Error - 12:50:58] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/heroes/heroes.component.html
[Error - 12:54:03] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/hero-detail/hero-detail.component.html
[Error - 12:54:07] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/hero-detail/hero-detail.component.html
[Error - 12:55:52] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/heroes/heroes.component.html
[Error - 13:07:12] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/hero-detail/hero-detail.component.html
[Error - 14:17:48] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/hero-detail/hero-detail.component.html
